experiment,mode,msg,window,iters,mops,gib
msg_sweep_gpu,write,32,64,200000,3.64,0.11
msg_sweep_gpu,send,32,64,200000,3.64,0.11
msg_sweep_gpu,write,64,64,200000,3.6,0.21
msg_sweep_gpu,send,64,64,200000,3.63,0.22
msg_sweep_gpu,write,128,64,200000,3.61,0.43
msg_sweep_gpu,send,128,64,200000,3.65,0.44
msg_sweep_gpu,write,256,64,200000,3.6,0.86
msg_sweep_gpu,send,256,64,200000,3.58,0.85
msg_sweep_gpu,write,512,64,200000,3.5,1.67
msg_sweep_gpu,send,512,64,200000,3.59,1.71
msg_sweep_gpu,write,1024,64,200000,3.56,3.4
msg_sweep_gpu,send,1024,64,200000,3.56,3.4
msg_sweep_gpu,write,2048,64,200000,3.4,6.48
msg_sweep_gpu,send,2048,64,200000,3.49,6.66
msg_sweep_gpu,write,4096,64,200000,2.59,9.89
msg_sweep_gpu,send,4096,64,200000,2.61,9.94
msg_sweep_gpu,write,8192,64,200000,1.32,10.06
msg_sweep_gpu,send,8192,64,200000,1.33,10.12
msg_sweep_gpu,write,65536,64,200000,0.17,10.18
msg_sweep_gpu,send,65536,64,200000,0.17,10.19
