experiment,mode,msg,window,iters,mops,gib
msg_sweep_gpu,write,32,64,200000,3.87,0.12
msg_sweep_gpu,send,32,64,200000,3.85,0.11
msg_sweep_gpu,write,64,64,200000,3.84,0.23
msg_sweep_gpu,send,64,64,200000,3.88,0.23
msg_sweep_gpu,write,128,64,200000,3.88,0.46
msg_sweep_gpu,send,128,64,200000,3.88,0.46
msg_sweep_gpu,write,256,64,200000,3.85,0.92
msg_sweep_gpu,send,256,64,200000,3.87,0.92
msg_sweep_gpu,write,512,64,200000,3.81,1.82
msg_sweep_gpu,send,512,64,200000,3.86,1.84
msg_sweep_gpu,write,1024,64,200000,3.89,3.71
msg_sweep_gpu,send,1024,64,200000,3.8,3.63
msg_sweep_gpu,write,2048,64,200000,3.73,7.12
msg_sweep_gpu,send,2048,64,200000,3.78,7.21
msg_sweep_gpu,write,4096,64,200000,2.51,9.58
msg_sweep_gpu,send,4096,64,200000,2.56,9.75
msg_sweep_gpu,write,8192,64,200000,1.32,10.09
msg_sweep_gpu,send,8192,64,200000,0.82,6.24
msg_sweep_gpu,write,65536,64,200000,0.17,10.19
msg_sweep_gpu,send,65536,64,200000,0.17,10.2
