experiment,mode,msg,window,iters,mops,gib
msg_sweep,write,32,64,200000,3.34,0.1
msg_sweep,send,32,64,200000,3.34,0.1
msg_sweep,write,64,64,200000,3.31,0.2
msg_sweep,send,64,64,200000,3.36,0.2
msg_sweep,write,128,64,200000,3.27,0.39
msg_sweep,send,128,64,200000,3.34,0.4
msg_sweep,write,256,64,200000,3.27,0.78
msg_sweep,send,256,64,200000,3.31,0.79
msg_sweep,write,512,64,200000,3.27,1.56
msg_sweep,send,512,64,200000,3.28,1.56
msg_sweep,write,1024,64,200000,3.31,3.15
msg_sweep,send,1024,64,200000,3.28,3.13
msg_sweep,write,2048,64,200000,3.26,6.22
msg_sweep,send,2048,64,200000,3.27,6.23
msg_sweep,write,4096,64,200000,2.81,10.72
msg_sweep,send,4096,64,200000,2.82,10.75
msg_sweep,write,8192,64,200000,1.41,10.74
msg_sweep,send,8192,64,200000,1.41,10.76
