experiment,mode,msg,window,iters,mops,gib
msg_sweep,write,32,4,200000,0.43,0.01
msg_sweep,send,32,4,200000,0.44,0.01
msg_sweep,write,64,4,200000,0.43,0.03
msg_sweep,send,64,4,200000,0.43,0.03
msg_sweep,write,128,4,200000,0.43,0.05
msg_sweep,send,128,4,200000,0.43,0.05
msg_sweep,write,256,4,200000,0.43,0.1
msg_sweep,send,256,4,200000,0.43,0.1
msg_sweep,write,512,4,200000,0.43,0.2
msg_sweep,send,512,4,200000,0.42,0.2
msg_sweep,write,1024,4,200000,0.41,0.39
msg_sweep,send,1024,4,200000,0.41,0.4
msg_sweep,write,2048,4,200000,0.41,0.78
msg_sweep,send,2048,4,200000,0.41,0.78
msg_sweep,write,4096,4,200000,0.4,1.53
msg_sweep,send,4096,4,200000,0.4,1.54
msg_sweep,write,8192,4,200000,0.39,2.96
msg_sweep,send,8192,4,200000,0.39,2.98
