experiment,mode,msg,window,iters,mops,gib
baseline,write,8192,64,100000,1.41,10.72
baseline,send,8192,64,100000,1.41,10.74
sweep,write,256,1,200000,0.22,0.05
sweep,send,256,1,200000,0.22,0.05
sweep,write,256,2,200000,0.43,0.1
sweep,send,256,2,200000,0.43,0.1
sweep,write,256,4,200000,0.86,0.21
sweep,send,256,4,200000,0.86,0.21
sweep,write,256,8,200000,1.53,0.36
sweep,send,256,8,200000,1.57,0.37
sweep,write,256,16,200000,2.8,0.67
sweep,send,256,16,200000,2.82,0.67
sweep,write,256,32,200000,3.08,0.73
sweep,send,256,32,200000,3.11,0.74
sweep,write,256,64,200000,3.61,0.86
sweep,send,256,64,200000,3.61,0.86
sweep,write,512,1,200000,0.21,0.1
sweep,send,512,1,200000,0.21,0.1
sweep,write,512,2,200000,0.43,0.2
sweep,send,512,2,200000,0.43,0.2
sweep,write,512,4,200000,0.85,0.41
sweep,send,512,4,200000,0.85,0.4
sweep,write,512,8,200000,1.53,0.73
sweep,send,512,8,200000,1.55,0.74
sweep,write,512,16,200000,2.79,1.33
sweep,send,512,16,200000,2.78,1.33
sweep,write,512,32,200000,3.12,1.49
sweep,send,512,32,200000,3.08,1.47
sweep,write,512,64,200000,3.64,1.73
sweep,send,512,64,200000,3.63,1.73
sweep,write,32,1,200000,0.22,0.01
sweep,send,32,1,200000,0.22,0.01
sweep,write,32,2,200000,0.44,0.01
sweep,send,32,2,200000,0.44,0.01
sweep,write,32,4,200000,0.88,0.03
sweep,send,32,4,200000,0.83,0.02
sweep,write,32,8,200000,1.56,0.05
sweep,send,32,8,200000,1.7,0.05
sweep,write,32,16,200000,2.85,0.08
sweep,send,32,16,200000,2.89,0.09
sweep,write,32,32,200000,3.11,0.09
sweep,send,32,32,200000,3.07,0.09
sweep,write,32,64,200000,3.55,0.11
sweep,send,32,64,200000,3.61,0.11
sweep,write,64,1,200000,0.22,0.01
sweep,send,64,1,200000,0.22,0.01
sweep,write,64,2,200000,0.44,0.03
sweep,send,64,2,200000,0.44,0.03
sweep,write,64,4,200000,0.88,0.05
sweep,send,64,4,200000,0.88,0.05
sweep,write,64,8,200000,1.7,0.1
sweep,send,64,8,200000,1.7,0.1
sweep,write,64,16,200000,2.86,0.17
sweep,send,64,16,200000,2.89,0.17
sweep,write,64,32,200000,3.08,0.18
sweep,send,64,32,200000,3.04,0.18
sweep,write,64,64,200000,3.59,0.21
sweep,send,64,64,200000,3.56,0.21
